state,district,name,address,lat,lng,business_status
Selangor,Petaling,"STARBUCKS SS15, SUBANG JAYA","Ground Floor, No. 77 & 79, Jalan SS 15/8a, Ss 15, 47500 Subang Jaya, Selangor, Malaysia",3.074073,101.590485,OPERATIONAL
Selangor,Petaling,STARBUCKS SS2 PETALING JAYA,"No. 5 Ground Floor, 3, Jalan SS 2/67, Taman Sea, 47300 Petaling Jaya, Selangor, Malaysia",3.118499,101.623106,OPERATIONAL
W.P. Putrajaya,W.P. Putrajaya,STARBUCKS SUASANA PJH,"Level G, Block A, Suasana PJH, Jalan Tun Abdul Razak, Presint 2, 62100 Putrajaya, Malaysia",2.925918,101.686477,OPERATIONAL
Selangor,Petaling,STARBUCKS SUBANG JAYA MEDICAL CENTRE,"Sime Darby Medical Centre Subang Jaya, Lot G7, Ground Floor, Mediplex, 1, Jalan SS 12/1A, SS12, 47500, Selangor, Malaysia",3.079682,101.593649,OPERATIONAL
Selangor,Petaling,STARBUCKS SUBANG SKYPARK,"Lot G12 & G13, Terminal 3, Sultan Abdul Aziz Salahuddin Airport, Jalan Lapangan Terbang SAAS, 47200, Selangor, Malaysia",3.133192,101.553872,OPERATIONAL
Terengganu,Kuala Nerus,STARBUCKS SULTAN MAHMUD AIRPORT,"Lapangan Terbang Sultan Mahmud, Kampung Telaga Batin, 21300 Kuala Terengganu, Terengganu, Malaysia",5.37903,103.105673,OPERATIONAL
Selangor,Petaling,STARBUCKS SUNSURIA FORUM,"Lot C01, Ground Floor, 1, Jln Setia Dagang AL U13/AL, Alam Nusantara, 40170 Shah Alam, Selangor, Malaysia",3.105975,101.468341,OPERATIONAL
Pulau Pinang,Seberang Perai Tengah,STARBUCKS SUNWAY CARNIVAL,"GF-25, Ground Floor, Sunway Carnival Mall, Jalan Todak, Pusat Bandar Seberang Jaya, 13700 Perai, Penang, Malaysia",5.399017,100.397695,OPERATIONAL
Selangor,Petaling,STARBUCKS SUNWAY GIZA,"Sunway Giza Mall, G.05, Block D, 47810, Selangor, Malaysia",3.150521,101.591691,OPERATIONAL
Selangor,Petaling,STARBUCKS SUNWAY PINNACLE,"GL-1, Ground Floor Lobby, The Pinnacle, Persiaran Lagoon Selatan, Bandar Sunway, UEP, 46150, Selangor, Malaysia",3.070216,101.610033,OPERATIONAL
W.P. Kuala Lumpur,W.P. Kuala Lumpur,STARBUCKS SUNWAY PUTRA MALL,"Lot No. G-6, Ground Floor, Sunway Putra Mall. 100, 50350 Kuala Lumpur, Malaysia",3.166104,101.692131,OPERATIONAL
Selangor,Petaling,STARBUCKS SUNWAY PYRAMID (LG1),"Sunway Pyramid, Lot LG1.110, Lower Ground 1, Jalan PJS 11/15, Bandar Sunway, 59200, Selangor, Malaysia",3.071739,101.605919,OPERATIONAL
Perak,Kinta,STARBUCKS SUNWAY TAMBUN DT,"Part of Lot HS (D) KA 72917, PT146136 (Plot 10) of, 31150, Perak, Malaysia",4.620879,101.148193,OPERATIONAL
Selangor,Petaling,STARBUCKS SUNWAY UNIVERSITY,"Mezzanine Floor, 5, Jalan Universiti, Bandar Sunway, 47500 Petaling Jaya, Selangor, Malaysia",3.067206,101.603868,OPERATIONAL
W.P. Kuala Lumpur,W.P. Kuala Lumpur,STARBUCKS SUNWAY VELOCITY,"Lot G-27, Ground Floor, Sunway Velocity Mall, Jalan Peel, 55100 Kuala Lumpur, Malaysia",3.127824,101.724814,OPERATIONAL
Sabah,Kota Kinabalu,STARBUCKS SURIA SABAH,"G-2 & G-69, Ground Floor, Suria Sabah Shopping Mall, 88000, Sabah, Malaysia",5.987958,116.078135,OPERATIONAL
Sabah,Tawau,STARBUCKS T2 APAS TAWAU,"No.15 (Lot 29) No.30 (Lot 30) No.16 (Lot 31) No.29 (Lot 32), T2@Apas, Jalan T2 Mile 1, Jalan Apas, 91000 Tawau, Sabah, Malaysia",4.251394,117.897773,OPERATIONAL
Selangor,Petaling,STARBUCKS TAIPAN,"Ground FLoor, No. 41, Jalan USJ 10/1d, 47620 Subang Jaya, Malaysia",3.049447,101.584197,OPERATIONAL
Perak,Larut Dan Matang,STARBUCKS TAIPING SENTRAL,"Lot G-09 & G, 10, 36, Jalan Istana Larut, 34000 Taiping, Perak, Malaysia",4.8653,100.731496,OPERATIONAL
W.P. Kuala Lumpur,W.P. Kuala Lumpur,STARBUCKS TAMAN CONNAUGHT,"Ground Floor, 2, Jalan Menara Gading 1, Taman Connaught, 56000 Kuala Lumpur, Malaysia",3.080666,101.73347,OPERATIONAL
Johor,Johor Bahru,STARBUCKS TAMAN DAYA DT,"6C, Jalan Sagu 18, Taman Daya, 81100 Johor Bahru, Johor, Malaysia",1.545834,103.765425,OPERATIONAL
W.P. Kuala Lumpur,W.P. Kuala Lumpur,STARBUCKS TAMAN DESA,"No.25, Ground Floor, Jln 5/109f, Taman Danau Desa, 58100 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.098882,101.686875,OPERATIONAL
Perak,Muallim,STARBUCKS TANJUNG MALIM,"Shop 4, Lot 232, Jalan Tanjong, Proton City, 35900 Tanjong Malim, Perak, Malaysia",3.691345,101.522809,OPERATIONAL
Pulau Pinang,Timur Laut,STARBUCKS TANJUNG TOKONG DT,"4-G, Jalan Pantai Molek, Kampung Raya Baharu, 10470 Tanjung Tokong, Pulau Pinang, Malaysia",5.446521,100.305596,OPERATIONAL
Perak,Batang Padang,STARBUCKS TAPAH R&R (SB),"Lot TPHSB-C05, Tapah RSA Southbound, North-South Expy, 35000, Perak, Malaysia",4.180677,101.290165,OPERATIONAL
Johor,Johor Bahru,STARBUCKS TASEK CENTRAL,"Level 2, Plaza Tasek, Lot 2-34 & 2-35, 2, Jalan Pendekar 16, 81300 Skudai, Malaysia",1.514227,103.654942,OPERATIONAL
Perak,Kinta,STARBUCKS TASEK DT,"Pusat Perdagangan, Lot 382914-382921, Jalan, Tasek Mutiara 1, Tasek Mutiara, 31400 Ipoh, Malaysia",4.654235,101.10781,OPERATIONAL
Pahang,Kuantan,STARBUCKS TELUK CEMPEDAK,"No 1&2, Pusat Rekreasi, Teluk Cempedak, Jalan Tengku, Jalan T.A. Bakar, 25050 Kuantan, Pahang, Malaysia",3.812301,103.372062,OPERATIONAL
Perak,Hilir Perak,STARBUCKS TELUK INTAN,"No.1, 1A & 1B, Jalan Intan 2, Bandar Baru Teluk Intan, 36000 Teluk Intan, Perak, Malaysia",4.020261,101.023307,OPERATIONAL
Selangor,Petaling,STARBUCKS THE CURVE,"Ground Floor, The Curve, G88, Mutiara Damansara, 47800, Selangor, Malaysia",3.157631,101.611292,OPERATIONAL
Selangor,Petaling,STARBUCKS THE GLADES,"Shop 10 & 11, The Glades Plaza, Off, Section 3, Persiaran Putra Perdana, Putra Heights, 47650 Subang Jaya, Selangor, Malaysia",3.008358,101.577439,OPERATIONAL
W.P. Kuala Lumpur,W.P. Kuala Lumpur,STARBUCKS THE LINK 2,"Lot UG-42, Jalil Link 2, Jalan Jalil Perkasa 3, Bukit Jalil, 57000 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.052383,101.679646,OPERATIONAL
Selangor,Petaling,STARBUCKS THE MINES,"L2-80(p), The Mines Shopping Mall, Mines Wellness City, 43300 Seri Kembangan, Selangor, Mines Wellness City, 43300 Seri Kembangan, Selangor, Malaysia",3.028273,101.718614,OPERATIONAL
Melaka,Melaka Tengah,STARBUCKS THE SHORE,"GF-10, The Shore Shopping Gallery, Jalan, Jln. Bunga Raya, 75300, Malacca, Malaysia",2.202907,102.249953,OPERATIONAL
Sarawak,Kuching,STARBUCKS THE SPRING,"Lot G10, First Floor, The Spring Shopping Centre, Lot 7196, Section 64, Kuching Town Land District, 93350, Sarawak, Malaysia",1.535546,110.358202,OPERATIONAL
Sarawak,Bintulu,STARBUCKS THE SPRING BINTULU,"Lot G42A, Ground Floor, The Spring, 97000 Bintulu, Malaysia",3.180725,113.033994,OPERATIONAL
Selangor,Petaling,STARBUCKS THE STARLING,"G 039, Ground Floor, the Starling, 6, Jalan SS 21/37, Damansara Utama, 47400 Petaling Jaya, Selangor, Malaysia",3.134348,101.62329,OPERATIONAL
Perak,Kampar,"STARBUCKS TIN VILLAGE, KAMPAR","Lot No. 5 & 6, Ground Floor, Tin Village Mall, 31900, Perak, Malaysia",4.328737,101.146783,OPERATIONAL
