state,district,address,lat,lng
Kedah,Pendang,"Caltex Pendang Caltex Pendang (CPS) Restaurant 2, PT9782 (Lot Lama 7703), Mukim Ayer Putih,",5.904449000000001,100.5071143
Selangor,Kuala Selangor,"KIP Mall Desa Coalfields UG-01 KIP Mall Desa Coalfields Jalan DC 4/5, Desa Coalfields,",3.2355597,101.4896135
Selangor,Ulu Langat,"Pandan Indah Shoplot 25, Jalan Pandan Indah 4/6a, Pandan Indah,",3.1308161,101.7554746
Johor,Johor Bahru,"Paradigm Mall Kiosk Lot THE COFFEE BEAN AND TEA LEAF PARADIGM MALL KIOSK – (PM1) GF-37A, Ground Floor, Paradigm Mall, Skudai LBH, Taman Bukit Mewah,",1.5156318,103.6857437
Johor,Johor Bahru,"Paradigm Mall Retail Lot THE COFFEE BEAN AND TEA LEAF PARADIGM MALL RETAIL LOT – (PM2) 4F-43A, Fourth Floor, Paradigm Mall, Skudai LBH,Taman Bukit Mewah,",1.5156318,103.6857437
W.P. Putrajaya,W.P. Putrajaya,"Caltex Presint 8 Lot 333, Jalan Persint 8,",2.9285864,101.6795471
W.P. Kuala Lumpur,W.P. Kuala Lumpur,"Aeon Taman Maluri F31, Aeon Taman Maluri Shopping Centre, Jalan Jejaka, Taman Maluri, Cheras,",3.1259253,101.7283988
Melaka,Melaka Tengah,"Malim Jaya Melaka Lot 983, Jalan Berkat 2,Taman Malim Jaya,",2.2393679,102.2342141
Selangor,Petaling,"Radia Commercial Centre No G27, Komersial Radia Persiaran Arked, Bukit Jelutong, Seksyen U18",3.1071444,101.5285154
Perak,Kinta,"Aeon Kinta City G33, AEON Mall Kinta City 2, Jalan Teh Lean Swee, Taman Ipoh Selatan,",4.613871,101.1180371
W.P. Putrajaya,W.P. Putrajaya,"Nadi Precint 15 16, Jalan Diplomatik, Presint 15,",2.9451553,101.7217744
W.P. Putrajaya,W.P. Putrajaya,"Caltex Persint 8 Lot 333, Jalan Persint 8,",2.9285864,101.6795471
Johor,Kulai,Caltex Kulai DT Lot,1.6555388,103.5975248
Selangor,Ulu Langat,"MKH Boulevard G18, MKH Boulevard, Jalan Bukit,",2.9902281,101.7920168
Kedah,Kuala Muda,"Amanjaya DT Block A, Lot",5.6697016,100.5080269
Johor,Johor Bahru,"Aeon Tebrau City Lot G115, Ground Floor, AEON Mall Tebrau City 1 Jalan Desa Tebrau",1.5503333,103.7964226
Perak,Kampar,"Tin Village Mall KR TKS01 & 02, Lot",4.3280891,101.146982
W.P. Kuala Lumpur,W.P. Kuala Lumpur,"MyTOWN Shopping Centre G-03A, Ground Floor, No 6, Jalan Cochrane, Seksyen 90,",3.1348713,101.722742
Negeri Sembilan,Seremban,Petron Bandar Sri Sendayan PT,2.675029,101.8729519
W.P. Kuala Lumpur,W.P. Kuala Lumpur,"Bloomsvale Old Klang Road Lot G-010, Ground Floor, Bloomsvale Shopping Gallery. Kuala Lumpur Federal Territories Kuala Lumpur",3.0980711,101.6758665
Johor,Johor Bahru,Setia Eco Garden Drive Thru PTD,1.4924627,103.5879823
Selangor,Ulu Langat,Bangi Avenue Drive Thru Lot PT,2.8978292,101.7948854
W.P. Putrajaya,W.P. Putrajaya,"Shell Putrajaya Precinct 8 Drive Thru Jalan P8 Lot Pt 1809, Presint 8,",2.932843,101.6792796
Selangor,Klang,"AEON Bukit Tinggi Lot G28, Ground Floor,AEON Mall Bukit Tinggi, No 1, Persiaran Batu Nilam 1/Ks6, Bandar Bukit Tinggi 2 Klang Selangor",2.9935685,101.4443686
Kelantan,Tumpat,"AEON Kota Bharu Lot G37, Ground Floor, AEON Mall Kota Bharu, Kampung Sireh, Jalan Jambatan Sultan Yahya Petra, Kota Bharu Kelantan",6.1164492,102.2282606
Melaka,Melaka Tengah,"Ayer Keroh Melaka No 1, Ground Floor, Jalan Komersial Takh 2, Taman Air Keroh Height Malacca Malacca",2.259551,102.2860905
Selangor,Ulu Langat,"Ampang Point No.51, Jalan Mamanda 9 Ampang Point Ampang Selangor",3.1583266,101.7534938
W.P. Kuala Lumpur,W.P. Kuala Lumpur,"Plaza Arkadia A-G-11 (Block A), Plaza Arkadia, No. 3, Jalan Intisari Perdana Desa Parkcity Federal Territories Kuala Lumpur",3.1855877,101.6349096
Selangor,Petaling,"AEON Shah Alam Lot G22, Ground Floor Aeon Mall Shah Alam No. 1, Jalan Akuatik 13/64, Seksyen 13 Shah Alam Selangor",3.0761611,101.5486938
Johor,Johor Bahru,"City Square Lot J1-01 & JK1-16, Level 1 Johore Bahru City Square, 108 Jalan Wong Ah Fook Johor Bahru Johor",1.462723945,103.7632381
Pulau Pinang,Barat Daya,"Golden Triangle 2 No. 35-1-18 & 19, Golden Triangle 2, Jalan Dato Ismail Hashim Bayan Lepas Penang",5.32965312,100.2748709
Johor,Johor Bahru,"KSL City G-03&03A, KSL CITY No. 33 Jalan Seladang Taman Abad Johor Bahru Johor",1.486076191,103.7623898
W.P. Kuala Lumpur,W.P. Kuala Lumpur,"Lot 10 F27 & F28, First Floor Lot 10 Shopping Centre 50 Jalan Sultan Ismail Kuala Lumpur Federal Territories Kuala Lumpur",3.1467810960000002,101.7115865
Pulau Pinang,Barat Daya,"The Promenade 5-G-13 & 13A ,The Promenade, 5 Persiaran Mahsuri Bandar Bayan Baru Penang",5.331257936,100.2833337
W.P. Kuala Lumpur,W.P. Kuala Lumpur,"Quill City Mall Lot G-31 & 32, Ground Floor, Quill City Mall, No.1018, Jalan Sultan Ismail Kuala Lumpur Federal Territories Kuala Lumpur",3.160096716,101.7000884
Johor,Johor Bahru,"R&F Mall  GF-111,112,113, Mercu 1 Jalan Tanjung Puteri 1 R&F Tanjung Puteri Johor Bahru Johor",1.459024368,103.7694707
Selangor,Petaling,"SS2 No. 50G & 50M, Jalan SS2/67 Petaling Jaya Selangor",3.120107824,101.6220432
Pahang,Kuantan,"East Coast Mall 2 Lot GF-19 & 19-AL, Ground Floor, Kuantan City Mall, 1, Jalan Putra Square 6, Putra Square,",3.818684003,103.3262857
Selangor,Kuala Selangor,"Eco Grandeur Drive Thru Jalan Eco Grandeur 1/5, Eco Grandeur",3.229345841,101.4566512
Pulau Pinang,Timur Laut,"Tree Square Mall 88-G-01 & 02, Jalan Sungai Kelian,",5.463589457,100.283741
Selangor,Kuala Langat,"Eco Sanctuary Drive Thru Lot D-G-09, Se. Ruang Square, Eco Sanctuary,",2.947235369,101.5435934
Kedah,Kota Setar,Aman Central Mall  Lot G-62A & G-73A Aman Central No. 1 Lebuhraya Darulaman Alor Setar Kedah,6.125050122,100.3668115
Pulau Pinang,Timur Laut,"E-Gate 1-01-06, E-Gate Commercial Centre, Lebuh Tunku Kudin 2 Penang Penang",5.375986,100.3153234
Pulau Pinang,Timur Laut,"Karpal Singh Drive 29C-1-7 Maritime, Persiaran Karpal Singh Jelutong Penang",5.3983016,100.3291549
Pulau Pinang,Timur Laut,"Straits Quay Unit No: 3H-G-3 Ground Floor Quay 1, Straits Quay Jalan Seri Tanjung Pinang, Tanjong Tokong Georgetown Penang",5.454686,100.3129628
Selangor,Klang,"Canary Garden KSL Esplanade Mall Canary Garden KSL Esplanade Mall (CGK) Lot No G001 & G001 (E), Ground Floor, KSL Esplanade Mall. No 1 Persiaran Bestari 2/KS09, Bandar Bestari",2.9596903900695897,101.4668102800536
Pulau Pinang,Timur Laut,"Lotus's Tanjung Pinang Lot G20 & G21, Lotus’s Tanjung Pinang, No. 1, Jalan Seri Tanjung Pinang, Tanjong Tokong,",5.458937199999999,100.3087485
Selangor,Ulu Langat,"Savanna Boulevard Southville Lot E4-G-14, Savanna Boulevard Retail Shop, Southville City, Bandar Baru Lembah Selatan,",2.9039323311043663,101.7647171101592
Selangor,Petaling,"CB&TL Elmina Lakeside Mall: Lot GF-20, Ground Floor, Elmina Lakeside Mall, 40160 Shah Alam, Selangor",3.1805805499157507,101.50875905306502
Sarawak,Kuching,"CB&TL Kuching International Airport 900A, 93250 Kuching, Sarawak",1.6596514808056524,110.36067231802669
Sabah,Kota Kinabalu,"11, Jalan Damai, Luyang Commercial Centre, 88300 Kota Kinabalu, Sabah",5.964510525376408,116.0870764377951
