business_status,formatted_address,lat,lng,name,rating,state,parlimen,geometry,city
OPERATIONAL,"Taman Kepong, 52100 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.2036389,101.6384278,"Taman Kejiranan Jalan Kuang Bulan, Kepong",4.3,W.P. Kuala Lumpur,P.114 Kepong,"c(101.6384278, 3.2036389)",Kepong
OPERATIONAL,"Taman Kejiranan Ayer Panas, 54100 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.1848156,101.7219518,Taman Rekreasi Air Panas Setapak Kuala Lumpur,3.9,W.P. Kuala Lumpur,P.118 Setiawangsa,"c(101.7219518, 3.1848156)",Setiawangsa
OPERATIONAL,"Taman Wangsa Melawati, 53300 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.2027353,101.7442595,Taman Rekreasi Awam Taman Wangsa Melawati,5,W.P. Kuala Lumpur,P.116 Wangsa Maju,"c(101.7442595, 3.2027353)",Wangsa Maju
OPERATIONAL,"41, Jln Ibukota Kanan, Taman Ibukota, 53000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.2099932,101.7116481,Taman Rekreasi Medan Idaman,4.1,W.P. Kuala Lumpur,P.116 Wangsa Maju,"c(101.7116481, 3.2099932)",Wangsa Maju
OPERATIONAL,"Bukit Kerinchi, 59200 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.0968742,101.6615608,Taman Rimba Bukit Kerinchi,4.5,W.P. Kuala Lumpur,P.121 Lembah Pantai,"c(101.6615608, 3.0968742)",Lembah Pantai
OPERATIONAL,"Taman Tun Dr Ismail, 60000 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.139492,101.6330463,Taman Rimba Kiara,4.3,W.P. Kuala Lumpur,P.117 Segambut,"c(101.6330463, 3.139492)",Segambut
OPERATIONAL,"Jalan Jambu Golok, Taman Sejahtera, 51200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1974955,101.6672143,Taman Sejahtera Park,4.6,W.P. Kuala Lumpur,P.117 Segambut,"c(101.6672143, 3.1974955)",Segambut
OPERATIONAL,"115, Jalan Ampang Hilir, Desa Pahlawan, 55000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1527694,101.7434094,Taman Tasik Ampang Hilir,4.3,W.P. Kuala Lumpur,P.119 Titiwangsa,"c(101.7434094, 3.1527694)",Titiwangsa
OPERATIONAL,"Jalan Genting Kelang, Taman Danau Kota, 53300 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.2021038,101.719795,Taman Tasik Danau Kota,4.4,W.P. Kuala Lumpur,P.116 Wangsa Maju,"c(101.719795, 3.2021038)",Wangsa Maju
OPERATIONAL,"Jalan 1/62a, Bandar Sri Menjalara, 52200 Kuala Lumpur, Selangor, Malaysia",3.1954532,101.6276815,Taman Tasik Menjalara,4.2,W.P. Kuala Lumpur,P.117 Segambut,"c(101.6276815, 3.1954532)",Segambut
OPERATIONAL,"Jalan Lingkaran Tengah 2, 7, Pavement, Taman Metropolitan Kepong, 52100 Kepong, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.2270827,101.6488787,Taman Tasik Metropolitan Kepong,4.3,W.P. Kuala Lumpur,P.114 Kepong,"c(101.6488787, 3.2270827)",Kepong
OPERATIONAL,"Jalan Tasik Permaisuri 2, Bandar Tun Razak, 56000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.0980475,101.7190424,Taman Tasik Permaisuri,4.3,W.P. Kuala Lumpur,P.124 Bandar Tun Razak,"c(101.7190424, 3.0980475)",Bandar Tun Razak
OPERATIONAL,"10, Jln Seri Rejang 2, Setapak Jaya, 53300 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1943516,101.7274545,Taman Tasik Sri Rampai,4.1,W.P. Kuala Lumpur,P.118 Setiawangsa,"c(101.7274545, 3.1943516)",Setiawangsa
OPERATIONAL,"Jalan Athinahapan, Taman Tun Dr Ismail, 60000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1477778,101.6222222,Taman Tun Dr Ismail Community Centre,4.1,W.P. Kuala Lumpur,P.117 Segambut,"c(101.6222222, 3.1477778)",Segambut
OPERATIONAL,"33, Taman Zaaba, Taman Tun Dr Ismail, 60000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1439184,101.6245403,Taman Zaaba,4.7,W.P. Kuala Lumpur,P.117 Segambut,"c(101.6245403, 3.1439184)",Segambut
OPERATIONAL,"C-3-1 plaza arkadia, 3, Persiaran Residen, Desa Parkcity, 52200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1864074,101.6283832,The Central Park,4.5,W.P. Kuala Lumpur,P.117 Segambut,"c(101.6283832, 3.1864074)",Segambut
OPERATIONAL,"Lorong Tiong Nam 3, Chow Kit, 50350 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1641652,101.6934168,Tiong Nam Park (River Of Life),3.4,W.P. Kuala Lumpur,P.120 Bukit Bintang,"c(101.6934168, 3.1641652)",Bukit Bintang
OPERATIONAL,"84, Jalan Kuantan, Titiwangsa, 53200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.17895,101.704389,Titiwangsa park,4.8,W.P. Kuala Lumpur,P.118 Setiawangsa,"c(101.704389, 3.17895)",Setiawangsa
